anno	id	gene	ens_id	r	std_err	t	p	padj	logpadj	sig
CTCF	CTCF_10085	TSPAN15	ENSG00000099282	0.836923369038855	0.173077807461458	4.83553253484118	0.000686069423331027	0.0079595764066928	2.09911004396219	TRUE
CTCF	CTCF_10252	CAMK2G	ENSG00000148660	0.400786085095053	0.289718917917726	1.38336180452278	0.196655626694232	0.409113907228452	0.388155757045463	FALSE
CTCF	CTCF_10252	CHCHD1	ENSG00000172586	-0.328101977167014	0.298722127164878	-1.09835177019183	0.297791795471827	0.497303495781287	0.303378487895893	FALSE
CTCF	CTCF_10252	FUT11	ENSG00000196968	0.583539402393355	0.2568037705826	2.27231633347713	0.0463876302918198	0.183731398410737	0.735816619462861	FALSE
CTCF	CTCF_11591	PLEKHA1	ENSG00000107679	0.326480688126062	0.298899708979573	1.09227502843897	0.300327706653417	0.497303495781287	0.303378487895893	FALSE
CTCF	CTCF_13156	CELF1	ENSG00000149187	-0.680213544104108	0.231799381883846	-2.9344924847339	0.014925545851375	0.0771189963104815	1.11283863133106	TRUE
CTCF	CTCF_13156	PSMC3	ENSG00000165916	0.201890866379136	0.30971601154488	0.651858021069346	0.529189334633898	0.680867806344251	0.166937200199077	FALSE
CTCF	CTCF_13778	CTTN	ENSG00000085733	-0.425628882233799	0.286153814339143	-1.48741292586564	0.167742942975674	0.375453251734266	0.425444129972045	FALSE
CTCF	CTCF_13778	PPFIA1	ENSG00000131626	-0.381328791267185	0.292333431709531	-1.30443100208286	0.221308864997253	0.429849910860049	0.366683158987359	FALSE
CTCF	CTCF_13797	SHANK2	ENSG00000162105	-0.00813338868525997	0.316217306292444	-0.0257208840990444	0.979986004121084	0.979986004121084	0.00878012673238962	FALSE
CTCF	CTCF_15438	FKBP4	ENSG00000004478	0.927333011550884	0.118344195332077	7.83589772991203	1.41123196011137e-05	0.000631081433102018	3.19991459691278	TRUE
CTCF	CTCF_15439	FKBP4	ENSG00000004478	0.230586276025851	0.307706023553087	0.749371992667766	0.470893783932649	0.631551710747918	0.199591084106204	FALSE
